cod_municipio;cod_unico_endereco;num_quadra;nom_logradouro;num_endereco;nom_logradouro_adjacente;dim_testada;dim_profundidade
4104501;4104501.125083-2;4104501.125083-2; RUA ALAGOAS ;3630;;10;20
4104501;4104501.125083-3;4104501.125083-3; RUA ALAGOAS ;3630;;10;20
4104501;4104501.125105-1;4104501.125105-1; AV. BRASIL;522;;10;20
4104501;4104501.125113-1;4104501.125113-1; RUA PADRE CIRILO;1434;;10;20
4104501;4104501.125121-1;4104501.125121-1; AV. BRASIL;388;;10;20
4104501;4104501.12513-1;4104501.12513-1; RUA OTAVIO KISCHNER;1223;;10;20
4104501;4104501.125130-1;4104501.125130-1; AV. BRASIL;392;;10;20
4104501;4104501.125148-1;4104501.125148-1; AV. BRASIL;415;;10;20
4104501;4104501.125156-1;4104501.125156-1; AV. PARANA;550;;10;20
4104501;4104501.125164-2;4104501.125164-2; RUA OTAVIO KISCHNER;333;;10;20
4104501;4104501.125172-2;4104501.125172-2; RUA SANTA CATARINA ;3776;;10;20
4104501;4104501.125181-2;4104501.125181-2; AV. BOTUCARIS;232;;10;20
4104501;4104501.125199-2;4104501.125199-2; AV. UBIRAJARAS;446;;10;20
4104501;4104501.1252-1;4104501.1252-1; AV. INDEPENDENCIA ;1580;;10;20
4104501;4104501.12521-3;4104501.12521-3; RUA OTAVIO KISCHNER;1275;;10;20
4104501;4104501.12521-4;4104501.12521-4; RUA OTAVIO KISCHNER;1275;;10;20
4104501;4104501.12521-5;4104501.12521-5; RUA OTAVIO KISCHNER;1275;;10;20
4104501;4104501.12521-7;4104501.12521-7; RUA OTAVIO KISCHNER;1275;;10;20
4104501;4104501.125211-1;4104501.125211-1; RUA SANTA CATARINA ;3488;;10;20
4104501;4104501.125237-3;4104501.125237-3; TR IGUACU ;;;10;20
4104501;4104501.125253-1;4104501.125253-1; RUA SANTA CATARINA ;655;;10;20
